,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
160,ev_ex_20_1_5_0_gru__6,6,gru,0,0.12318278849124908,0.9761403799057007,0.015532097779214382
161,ev_ex_5_1_5_0_rnn__6,6,rnn,0,0.12678152322769165,0.975789487361908,0.01579960435628891
162,ev_ex_5_1_5_0_lstm__6,6,lstm,0,0.12646475434303284,0.975789487361908,0.015799354761838913
163,ev_ex_5_1_5_0_gru__6,6,gru,0,0.12626393139362335,0.975789487361908,0.015802601352334023
164,ev_ex_30_1_10_1_rnn__6,6,rnn,0,0.11669044941663742,0.9782456159591675,0.014289885759353638
165,ev_ex_30_1_10_1_lstm__6,6,lstm,0,0.11585744470357895,0.9782456159591675,0.01425081118941307
166,ev_ex_30_1_10_1_gru__6,6,gru,0,0.11530124396085739,0.9782456159591675,0.014254564419388771
167,ev_nm_15_2_10_0_rnn__6,6,rnn,0,0.1088666319847107,0.9803508520126343,0.012944886460900307
168,ev_nm_15_2_10_0_lstm__6,6,lstm,0,0.11018959432840347,0.9803508520126343,0.012998522259294987
169,ev_nm_15_2_10_0_gru__6,6,gru,0,0.10921020805835724,0.9803508520126343,0.01293590385466814
170,BaseLine,6,,1,0.0,0.9792982339859009,0.057543858885765076
171,grades_only,6,gru,1,0.11114390939474106,0.9792982339859009,0.013547360897064209
172,ev_nm_0_1_5_0_rnn__6,6,rnn,1,0.12193486094474792,0.977543830871582,0.014766436070203781
173,ev_nm_0_1_5_0_lstm__6,6,lstm,1,0.11981936544179916,0.977543830871582,0.014695312827825546
174,ev_nm_0_1_5_0_gru__6,6,gru,1,0.12100564688444138,0.977543830871582,0.014721079729497433
175,ev_ex_20_1_5_0_rnn__6,6,rnn,1,0.12788867950439453,0.9754385948181152,0.016044681891798973
176,ev_ex_20_1_5_0_lstm__6,6,lstm,1,0.12620356678962708,0.9754385948181152,0.016014987602829933
177,ev_ex_20_1_5_0_gru__6,6,gru,1,0.12664341926574707,0.9754385948181152,0.016015969216823578
178,ev_ex_15_2_5_1_rnn__6,6,rnn,1,0.13846753537654877,0.9722806811332703,0.017960283905267715
179,ev_ex_15_2_5_1_lstm__6,6,lstm,1,0.13862314820289612,0.9722806811332703,0.017986925318837166
180,ev_ex_15_2_5_1_gru__6,6,gru,1,0.13915568590164185,0.9722806811332703,0.017996691167354584
181,ev_nm_5_1_10_0_rnn__6,6,rnn,1,0.12220736593008041,0.9768421053886414,0.015141569077968597
182,ev_nm_5_1_10_0_lstm__6,6,lstm,1,0.12169259041547775,0.9768421053886414,0.015106136910617352
183,ev_nm_5_1_10_0_gru__6,6,gru,1,0.1211957111954689,0.9768421053886414,0.015100733377039433
184,ev_ex_5_2_10_1_rnn__6,6,rnn,1,0.13218824565410614,0.9740350842475891,0.01686590537428856
185,ev_ex_5_2_10_1_lstm__6,6,lstm,1,0.13264280557632446,0.9740350842475891,0.016886530444025993
186,ev_ex_5_2_10_1_gru__6,6,gru,1,0.13247831165790558,0.9740350842475891,0.016915451735258102
187,BaseLine,6,,2,0.0,0.9736841917037964,0.06526315957307816
188,grades_only,6,gru,2,0.13549908995628357,0.9736841917037964,0.017130937427282333
189,ev_ex_10_2_10_1_rnn__6,6,rnn,2,0.13850243389606476,0.9729824662208557,0.017561575397849083
190,ev_ex_10_2_10_1_lstm__6,6,lstm,2,0.13849230110645294,0.9729824662208557,0.017563624307513237
191,ev_ex_10_2_10_1_gru__6,6,gru,2,0.13826295733451843,0.9729824662208557,0.017570801079273224
192,ev_nm_5_1_10_0_rnn__6,6,rnn,2,0.13337042927742004,0.9740350842475891,0.01689813658595085
193,ev_nm_5_1_10_0_lstm__6,6,lstm,2,0.13191932439804077,0.9740350842475891,0.016872771084308624
194,ev_nm_5_1_10_0_gru__6,6,gru,2,0.1330074667930603,0.9740350842475891,0.016884827986359596
195,ev_ex_15_2_5_1_rnn__6,6,rnn,2,0.11574935913085938,0.9785965085029602,0.014173751696944237
196,ev_ex_15_2_5_1_lstm__6,6,lstm,2,0.1153486892580986,0.9785965085029602,0.014045510441064835
197,ev_ex_15_2_5_1_gru__6,6,gru,2,0.11433782428503036,0.9785965085029602,0.014020919799804688
198,ev_nm_0_2_5_1_rnn__6,6,rnn,2,0.12418539822101593,0.9764912128448486,0.015350216068327427
199,ev_nm_0_2_5_1_lstm__6,6,lstm,2,0.12512876093387604,0.9764912128448486,0.015356875024735928
200,ev_nm_0_2_5_1_gru__6,6,gru,2,0.12357111275196075,0.9764912128448486,0.015338640660047531
201,ev_ex_30_2_5_0_rnn__6,6,rnn,2,0.13805818557739258,0.9736841917037964,0.017190027981996536
202,ev_ex_30_2_5_0_lstm__6,6,lstm,2,0.13764244318008423,0.9736841917037964,0.01719173975288868
203,ev_ex_30_2_5_0_gru__6,6,gru,2,0.13677920401096344,0.9736841917037964,0.017169812694191933
204,BaseLine,3,,0,0.0,0.9778226017951965,0.05443548411130905
205,grades_only,3,gru,0,0.11656326055526733,0.9778226017951965,0.014458028599619865
206,ev_ex_10_1_10_1_rnn__3,3,rnn,0,0.11831752955913544,0.9774865508079529,0.014667602255940437
207,ev_ex_10_1_10_1_lstm__3,3,lstm,0,0.11790033429861069,0.9774865508079529,0.014693472534418106
208,ev_ex_10_1_10_1_gru__3,3,gru,0,0.1190006211400032,0.9774865508079529,0.014754340052604675
209,ev_ex_15_2_5_0_rnn__3,3,rnn,0,0.12558747828006744,0.9761424660682678,0.01559496857225895
210,ev_ex_15_2_5_0_lstm__3,3,lstm,0,0.1255108267068863,0.9761424660682678,0.015591761097311974
211,ev_ex_15_2_5_0_gru__3,3,gru,0,0.12611962854862213,0.9761424660682678,0.015613154508173466
212,ev_ex_10_2_5_0_rnn__3,3,rnn,0,0.13022592663764954,0.9751344323158264,0.01622110605239868
213,ev_ex_10_2_5_0_lstm__3,3,lstm,0,0.12925191223621368,0.9751344323158264,0.016199853271245956
214,ev_ex_10_2_5_0_gru__3,3,gru,0,0.1310536116361618,0.9751344323158264,0.016224442049860954
215,ev_ex_5_1_5_0_rnn__3,3,rnn,0,0.13661794364452362,0.9731183052062988,0.017488526180386543
216,ev_ex_5_1_5_0_lstm__3,3,lstm,0,0.13604643940925598,0.9731183052062988,0.017469055950641632
217,ev_ex_5_1_5_0_gru__3,3,gru,0,0.13687144219875336,0.9731183052062988,0.01748042181134224
218,ev_ex_15_1_5_0_rnn__3,3,rnn,0,0.1316034197807312,0.9741263389587402,0.01682366244494915
219,ev_ex_15_1_5_0_lstm__3,3,lstm,0,0.1327812373638153,0.9741263389587402,0.016830991953611374
220,ev_ex_15_1_5_0_gru__3,3,gru,0,0.1332717388868332,0.9741263389587402,0.016844402998685837
