,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
198,ev_ex_20_1_10_1_lstm__12,12,lstm,0,0.13532070815563202,0.973825991153717,0.0170632041990757
199,ev_ex_20_1_10_1_gru__12,12,gru,0,0.13431806862354279,0.973825991153717,0.017037389799952507
200,ev_nm_0_2_5_0_rnn__12,12,rnn,0,0.12588945031166077,0.9765204191207886,0.015352319926023483
201,ev_nm_0_2_5_0_lstm__12,12,lstm,0,0.12094118446111679,0.9769052863121033,0.015123690478503704
202,ev_nm_0_2_5_0_gru__12,12,gru,0,0.12272923439741135,0.9769052863121033,0.015151416882872581
203,ev_ex_20_2_10_1_rnn__12,12,rnn,0,0.11765091121196747,0.9780600666999817,0.014413448981940746
204,ev_ex_20_2_10_1_lstm__12,12,lstm,0,0.1219339445233345,0.9780600666999817,0.014554373919963837
205,ev_ex_20_2_10_1_gru__12,12,gru,0,0.11794675141572952,0.9780600666999817,0.014460916630923748
206,ev_nm_30_1_5_0_rnn__12,12,rnn,0,0.11657402664422989,0.9788298606872559,0.013971290551126003
207,ev_nm_30_1_5_0_lstm__12,12,lstm,0,0.1178603321313858,0.9788298606872559,0.01412623655050993
208,ev_nm_30_1_5_0_gru__12,12,gru,0,0.11711205542087555,0.9784449338912964,0.014181885868310928
209,ev_nm_0_1_5_0_rnn__12,12,rnn,0,0.1467469185590744,0.9719014763832092,0.018336663022637367
210,ev_nm_0_1_5_0_lstm__12,12,lstm,0,0.14993682503700256,0.9719014763832092,0.01839827187359333
211,ev_nm_0_1_5_0_gru__12,12,gru,0,0.14726226031780243,0.9719014763832092,0.018348779529333115
212,ev_nm_5_1_10_1_rnn__12,12,rnn,0,0.13432398438453674,0.9757505655288696,0.01619252748787403
213,ev_nm_5_1_10_1_lstm__12,12,lstm,0,0.12801411747932434,0.9757505655288696,0.015914449468255043
214,ev_nm_5_1_10_1_gru__12,12,gru,0,0.12738822400569916,0.9757505655288696,0.015870528295636177
215,ev_ex_10_1_5_1_rnn__12,12,rnn,0,0.12010110914707184,0.9780600666999817,0.01441236212849617
216,ev_ex_10_1_5_1_lstm__12,12,lstm,0,0.11817872524261475,0.9780600666999817,0.01435902714729309
217,ev_ex_10_1_5_1_gru__12,12,gru,0,0.11804253607988358,0.9780600666999817,0.014329105615615845
218,ev_ex_30_1_10_1_rnn__12,12,rnn,0,0.14551210403442383,0.9715165495872498,0.018437402322888374
219,ev_ex_30_1_10_1_lstm__12,12,lstm,0,0.14306817948818207,0.9715165495872498,0.018470706418156624
220,ev_ex_30_1_10_1_gru__12,12,gru,0,0.14795668423175812,0.9715165495872498,0.018581142649054527
221,ev_ex_30_1_10_1_rnn__12,12,rnn,0,0.122013621032238,0.9769052863121033,0.015063166618347168
222,ev_ex_30_1_10_1_lstm__12,12,lstm,0,0.12387747317552567,0.9769052863121033,0.015117433853447437
223,ev_ex_30_1_10_1_gru__12,12,gru,0,0.1242929995059967,0.9769052863121033,0.015127317048609257
224,BaseLine,12,,1,0.0,0.9742109179496765,0.06851424276828766
225,grades_only,12,rnn,1,0.1313348114490509,0.9742109179496765,0.016739949584007263
226,ev_ex_10_2_10_0_rnn__12,12,rnn,1,0.13405002653598785,0.973825991153717,0.017053386196494102
227,ev_ex_10_2_10_0_lstm__12,12,lstm,1,0.13461898267269135,0.973825991153717,0.017039895057678223
228,ev_ex_10_2_10_0_gru__12,12,gru,1,0.13605690002441406,0.973825991153717,0.017140734940767288
229,ev_nm_15_2_10_0_rnn__12,12,rnn,1,0.15472041070461273,0.9703618288040161,0.019369136542081833
230,ev_nm_15_2_10_0_lstm__12,12,lstm,1,0.15252435207366943,0.9703618288040161,0.019327159970998764
231,ev_nm_15_2_10_0_gru__12,12,gru,1,0.15287600457668304,0.9703618288040161,0.019323498010635376
232,ev_ex_5_2_5_0_rnn__12,12,rnn,1,0.13334272801876068,0.9742109179496765,0.016791852191090584
233,ev_ex_5_2_5_0_lstm__12,12,lstm,1,0.1318025290966034,0.9742109179496765,0.01676240749657154
234,ev_ex_5_2_5_0_gru__12,12,gru,1,0.1339731365442276,0.9742109179496765,0.016804205253720284
235,ev_ex_30_2_5_0_rnn__12,12,rnn,1,0.13181175291538239,0.974595844745636,0.01658628135919571
236,ev_ex_30_2_5_0_lstm__12,12,lstm,1,0.13166207075119019,0.974595844745636,0.01655603013932705
237,ev_ex_30_2_5_0_gru__12,12,gru,1,0.13262557983398438,0.974595844745636,0.01658080331981182
238,ev_ex_15_2_5_1_rnn__12,12,rnn,1,0.13510733842849731,0.973825991153717,0.017030639573931694
239,ev_ex_15_2_5_1_lstm__12,12,lstm,1,0.13583026826381683,0.973825991153717,0.01707431487739086
240,ev_ex_15_2_5_1_gru__12,12,gru,1,0.13610675930976868,0.973825991153717,0.017070937901735306
241,ev_nm_5_1_10_1_rnn__12,12,rnn,1,0.1408013105392456,0.9730561971664429,0.017656205222010612
242,ev_nm_5_1_10_1_lstm__12,12,lstm,1,0.14112384617328644,0.9730561971664429,0.0176493339240551
243,ev_nm_5_1_10_1_gru__12,12,gru,1,0.14299894869327545,0.9730561971664429,0.017850305885076523
244,ev_ex_0_2_10_0_rnn__12,12,rnn,1,0.12817463278770447,0.9753656387329102,0.016077887266874313
245,ev_ex_0_2_10_0_lstm__12,12,lstm,1,0.12829315662384033,0.9753656387329102,0.016075225546956062
246,ev_ex_0_2_10_0_gru__12,12,gru,1,0.12849992513656616,0.9753656387329102,0.016078371554613113
247,ev_nm_5_1_5_1_rnn__12,12,rnn,1,0.13186554610729218,0.9753656387329102,0.016137849539518356
248,ev_nm_5_1_5_1_lstm__12,12,lstm,1,0.13046175241470337,0.9753656387329102,0.01610388606786728
249,ev_nm_5_1_5_1_gru__12,12,gru,1,0.13126717507839203,0.9753656387329102,0.016152385622262955
250,ev_nm_20_1_5_1_rnn__12,12,rnn,1,0.10972477495670319,0.9799845814704895,0.01320988591760397
251,ev_nm_20_1_5_1_lstm__12,12,lstm,1,0.11087507009506226,0.9799845814704895,0.0131667610257864
